Time,NOx(GT),CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
2004-10-03 18:00:00,166.0,2.6,1360.0,150.0,11.9,1046.0,1056.0,113.0,1692.0,1268.0,13.6,48.9,0.7578
2004-10-03 19:00:00,103.0,2.0,1292.0,112.0,9.4,955.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255
2004-10-03 20:00:00,131.0,2.2,1402.0,88.0,9.0,939.0,1140.0,114.0,1555.0,1074.0,11.9,54.0,0.7502
2004-10-03 21:00:00,172.0,2.2,1376.0,80.0,9.2,948.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867
2004-10-03 22:00:00,131.0,1.6,1272.0,51.0,6.5,836.0,1205.0,116.0,1490.0,1110.0,11.2,59.6,0.7888
2004-10-03 23:00:00,89.0,1.2,1197.0,38.0,4.7,750.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848
2004-10-04 00:00:00,83.0,1.3,1047.0,77.0,5.4,783.0,1014.0,79.0,1449.0,975.0,12.0,66.9,0.9336
2004-10-04 01:00:00,118.0,1.7,1116.0,98.0,6.9,854.0,929.0,78.0,1533.0,1034.0,11.5,70.1,0.9503
2004-10-04 02:00:00,101.0,1.7,1074.0,102.0,6.4,832.0,951.0,75.0,1507.0,980.0,11.4,69.8,0.9390000000000001
2004-10-04 03:00:00,-200.0,1.0,922.0,65.0,3.6,687.0,1142.0,-200.0,1390.0,825.0,11.1,69.3,0.9128
2004-10-04 04:00:00,46.0,0.8,898.0,69.0,3.3,669.0,1163.0,52.0,1386.0,807.0,10.8,70.3,0.9092
2004-10-04 05:00:00,81.0,1.0,970.0,89.0,4.0,708.0,1121.0,55.0,1435.0,842.0,10.2,73.4,0.9129
2004-10-04 06:00:00,112.0,1.4,1073.0,134.0,6.0,812.0,988.0,65.0,1500.0,950.0,10.8,70.5,0.9142
2004-10-04 07:00:00,150.0,1.7,1081.0,157.0,8.2,906.0,895.0,72.0,1591.0,1024.0,11.0,71.0,0.9279
2004-10-04 08:00:00,138.0,2.0,1159.0,167.0,9.9,976.0,837.0,76.0,1663.0,1098.0,12.4,64.0,0.9206
2004-10-04 09:00:00,124.0,2.0,1112.0,157.0,8.8,931.0,869.0,84.0,1588.0,1011.0,15.0,53.1,0.8993
2004-10-04 10:00:00,124.0,1.9,1112.0,172.0,8.4,917.0,897.0,90.0,1542.0,931.0,16.6,44.4,0.8313
2004-10-04 11:00:00,115.0,2.1,1063.0,114.0,7.5,877.0,971.0,89.0,1481.0,811.0,18.0,38.4,0.7862
2004-10-04 12:00:00,101.0,1.8,1032.0,166.0,7.8,892.0,973.0,87.0,1457.0,756.0,20.6,30.0,0.7213
2004-10-04 13:00:00,90.0,1.5,936.0,94.0,6.4,829.0,1054.0,88.0,1336.0,607.0,19.9,26.7,0.6137
2004-10-04 14:00:00,90.0,1.3,883.0,108.0,5.1,766.0,1152.0,81.0,1238.0,498.0,19.8,23.1,0.5283
2004-10-04 15:00:00,89.0,1.4,942.0,98.0,6.9,852.0,1055.0,89.0,1318.0,540.0,21.4,22.7,0.5722
2004-10-04 16:00:00,92.0,1.5,943.0,132.0,6.8,850.0,1084.0,91.0,1296.0,544.0,22.1,21.3,0.5605
2004-10-04 17:00:00,103.0,1.7,1007.0,144.0,7.4,875.0,1027.0,104.0,1357.0,620.0,21.1,24.5,0.604
2004-10-04 18:00:00,122.0,2.0,1037.0,165.0,8.7,927.0,949.0,111.0,1426.0,740.0,18.3,31.6,0.6562
2004-10-04 19:00:00,159.0,2.5,1127.0,210.0,11.2,1022.0,871.0,129.0,1534.0,921.0,16.1,35.0,0.6372
2004-10-04 20:00:00,172.0,2.4,1123.0,277.0,10.5,996.0,861.0,133.0,1551.0,1033.0,14.8,41.5,0.6929
2004-10-04 21:00:00,125.0,2.0,1110.0,168.0,8.2,909.0,916.0,115.0,1487.0,984.0,13.2,50.3,0.7577
2004-10-04 22:00:00,187.0,2.9,1247.0,248.0,11.6,1037.0,812.0,125.0,1618.0,1193.0,12.3,55.5,0.7916
2004-10-04 23:00:00,174.0,2.5,1220.0,235.0,9.7,967.0,844.0,117.0,1545.0,1219.0,11.8,56.6,0.7833
2004-10-05 00:00:00,-200.0,-200.0,997.0,-200.0,6.5,835.0,951.0,-200.0,1501.0,888.0,13.9,61.1,0.9656
2004-10-05 01:00:00,-200.0,-200.0,875.0,-200.0,3.0,654.0,1172.0,-200.0,1375.0,683.0,14.9,57.6,0.9684
2004-10-05 02:00:00,-200.0,-200.0,815.0,-200.0,1.8,569.0,1361.0,-200.0,1344.0,534.0,14.4,60.1,0.9797
2004-10-05 03:00:00,-200.0,-200.0,803.0,-200.0,1.3,531.0,1462.0,-200.0,1318.0,489.0,13.8,63.2,0.9952
2004-10-05 04:00:00,-200.0,-200.0,829.0,-200.0,1.8,570.0,1304.0,-200.0,1357.0,562.0,14.2,62.9,1.0136
2004-10-05 05:00:00,-200.0,-200.0,867.0,-200.0,2.6,625.0,1213.0,-200.0,1385.0,652.0,14.0,63.8,1.0167
2004-10-05 06:00:00,-200.0,-200.0,1118.0,-200.0,9.8,970.0,837.0,-200.0,1705.0,1019.0,13.4,67.4,1.0292
2004-10-05 07:00:00,-200.0,-200.0,1632.0,-200.0,31.5,1587.0,523.0,-200.0,2459.0,1678.0,14.7,62.3,1.0351
2004-10-05 08:00:00,-200.0,-200.0,1598.0,-200.0,35.2,1668.0,490.0,-200.0,2617.0,1749.0,16.0,57.3,1.0342
2004-10-05 09:00:00,257.0,4.4,1378.0,-200.0,20.2,1303.0,633.0,117.0,2051.0,1494.0,17.8,51.1,1.0362
2004-10-05 10:00:00,178.0,2.5,1132.0,-200.0,13.4,1096.0,731.0,107.0,1808.0,1186.0,20.0,45.0,1.0379
2004-10-05 11:00:00,145.0,2.1,1108.0,-200.0,11.7,1040.0,767.0,95.0,1748.0,1051.0,20.3,44.1,1.0392
2004-10-05 12:00:00,137.0,2.4,1131.0,-200.0,13.4,1097.0,735.0,93.0,1797.0,1027.0,20.7,42.4,1.0248
2004-10-05 13:00:00,139.0,2.2,1105.0,-200.0,12.9,1080.0,751.0,104.0,1758.0,981.0,20.8,40.6,0.9888
2004-10-05 14:00:00,130.0,2.2,1120.0,-200.0,13.4,1096.0,753.0,102.0,1767.0,976.0,21.5,39.7,1.0042
2004-10-05 15:00:00,148.0,2.3,1100.0,-200.0,13.7,1108.0,800.0,109.0,1731.0,932.0,25.0,30.1,0.9394
2004-10-05 16:00:00,120.0,2.1,1098.0,-200.0,14.2,1124.0,810.0,97.0,1716.0,871.0,25.2,29.7,0.9371
2004-10-05 17:00:00,132.0,2.5,1137.0,-200.0,17.8,1234.0,749.0,104.0,1824.0,990.0,23.4,32.0,0.91
2004-10-05 18:00:00,188.0,3.6,1267.0,-200.0,22.0,1352.0,651.0,124.0,1961.0,1196.0,21.0,37.8,0.9298
2004-10-05 19:00:00,204.0,4.0,1319.0,-200.0,24.4,1413.0,597.0,135.0,2050.0,1329.0,19.2,45.7,1.0084
2004-10-05 20:00:00,167.0,3.0,1160.0,-200.0,16.3,1189.0,698.0,122.0,1824.0,1151.0,17.7,50.9,1.0232
2004-10-05 21:00:00,128.0,2.1,1084.0,-200.0,12.4,1063.0,775.0,109.0,1703.0,1031.0,16.8,53.6,1.0167
