Date_reported,New_cases,New_deaths
2020-01-03,0.0,0
2020-01-05,0.0,0
2020-01-07,0.0,0
2020-01-09,0.0,0
2020-01-11,0.0,0
2020-01-13,0.0,0
2020-01-15,0.0,0
2020-01-17,0.0,0
2020-01-19,0.0,0
2020-01-21,0.0,0
2020-01-23,0.0,0
2020-01-25,0.0,0
2020-01-27,0.0,0
2020-01-29,2.0,0
2020-01-31,1.0,0
2020-02-02,0.0,0
2020-02-04,0.0,0
2020-02-06,0.0,0
2020-02-08,0.0,0
2020-02-10,0.0,0
2020-02-12,0.0,0
2020-02-14,0.0,0
2020-02-16,0.0,0
2020-02-18,0.0,0
2020-02-20,0.0,0
2020-02-22,14.0,0
2020-02-24,53.0,0
2020-02-26,93.0,5
2020-02-28,250.0,5
2020-03-01,240.0,8
2020-03-03,347.0,17
2020-03-05,587.0,27
2020-03-07,778.0,49
2020-03-09,1492.0,133
2020-03-11,977.0,167
2020-03-13,2651.0,189
2020-03-15,3497.0,173
2020-03-17,4000.0,347
2020-03-19,4207.0,473
2020-03-21,5986.0,625
2020-03-23,5560.0,649
2020-03-25,5249.0,743
2020-03-27,6153.0,660
2020-03-29,5974.0,887
2020-03-31,4050.0,810
2020-04-02,4782.0,727
2020-04-04,4585.0,764
2020-04-06,4316.0,527
2020-04-08,3039.0,604
2020-04-10,4204.0,612
2020-04-12,4694.0,619
2020-04-14,3153.0,564
2020-04-16,2667.0,578
2020-04-18,3493.0,575
2020-04-20,3047.0,433
2020-04-22,2729.0,534
2020-04-24,2646.0,464
2020-04-26,2357.0,415
2020-04-28,1739.0,333
2020-04-30,2086.0,323
2020-05-02,1965.0,269
2020-05-04,1389.0,174
2020-05-06,1075.0,236
2020-05-08,1401.0,274
2020-05-10,1083.0,194
2020-05-12,744.0,179
2020-05-14,888.0,195
2020-05-16,789.0,242
2020-05-18,675.0,145
2020-05-20,813.0,162
2020-05-22,642.0,156
2020-05-24,669.0,119
2020-05-26,300.0,92
2020-05-28,584.0,117
2020-05-30,516.0,87
2020-06-01,355.0,75
2020-06-03,318.0,55
2020-06-05,177.0,88
2020-06-07,270.0,72
2020-06-09,280.0,65
2020-06-11,202.0,71
2020-06-13,163.0,56
2020-06-15,338.0,44
2020-06-17,210.0,34
2020-06-19,331.0,66
2020-06-21,264.0,49
2020-06-23,221.0,23
2020-06-25,577.0,-31
2020-06-27,255.0,30
2020-06-29,174.0,22
2020-07-01,142.0,23
2020-07-03,201.0,30
2020-07-05,235.0,21
2020-07-07,208.0,8
2020-07-09,193.0,15
2020-07-11,276.0,12
2020-07-13,234.0,9
2020-07-15,114.0,17
2020-07-17,230.0,20
2020-07-19,249.0,14
2020-07-21,190.0,13
2020-07-23,280.0,9
2020-07-25,252.0,5
2020-07-27,254.0,5
2020-07-29,202.0,11
2020-07-31,382.0,3
2020-08-02,295.0,5
2020-08-04,159.0,12
2020-08-06,384.0,10
2020-08-08,552.0,3
2020-08-10,463.0,2
2020-08-12,412.0,6
2020-08-14,522.0,6
2020-08-16,629.0,158
2020-08-18,320.0,4
2020-08-20,642.0,7
2020-08-22,947.0,9
2020-08-24,1209.0,7
2020-08-26,876.0,4
2020-08-28,1409.0,5
2020-08-30,1444.0,1
2020-09-01,996.0,6
2020-09-03,1326.0,6
2020-09-05,1732.0,11
2020-09-07,1296.0,7
2020-09-09,1369.0,10
2020-09-11,1597.0,10
2020-09-13,1501.0,6
2020-09-15,1008.0,14
2020-09-17,1452.0,12
2020-09-19,1907.0,10
2020-09-21,1587.0,15
2020-09-23,1391.0,14
2020-09-25,1786.0,23
2020-09-27,1869.0,17
2020-09-29,1494.0,16
2020-10-01,,19
2020-10-03,,23
2020-10-05,,18
2020-10-07,,28
2020-10-09,,22
2020-10-11,,29
2020-10-13,,39
2020-10-15,,43
2020-10-17,,55
2020-10-19,,69
2020-10-21,,89
2020-10-23,,136
2020-10-25,,151
2020-10-27,,141
2020-10-29,,205
2020-10-31,,199
2020-11-02,,208
2020-11-04,,353
2020-11-06,,428
2020-11-08,,425
2020-11-10,,356
2020-11-12,,623
2020-11-14,,550
2020-11-16,,546
2020-11-18,,731
2020-11-20,,653
2020-11-22,,692
