Date_reported,New_cases,New_deaths
2020-01-03,0.0,0
2020-01-04,0.0,0
2020-01-05,0.0,0
2020-01-06,0.0,0
2020-01-07,0.0,0
2020-01-08,0.0,0
2020-01-09,0.0,0
2020-01-10,0.0,0
2020-01-11,0.0,0
2020-01-12,0.0,0
2020-01-13,0.0,0
2020-01-14,0.0,0
2020-01-15,0.0,0
2020-01-16,0.0,0
2020-01-17,0.0,0
2020-01-18,0.0,0
2020-01-19,0.0,0
2020-01-20,0.0,0
2020-01-21,0.0,0
2020-01-22,0.0,0
2020-01-23,0.0,0
2020-01-24,0.0,0
2020-01-25,0.0,0
2020-01-26,0.0,0
2020-01-27,0.0,0
2020-01-28,0.0,0
2020-01-29,2.0,0
2020-01-30,0.0,0
2020-01-31,1.0,0
2020-02-01,0.0,0
2020-02-02,0.0,0
2020-02-03,0.0,0
2020-02-04,0.0,0
2020-02-05,0.0,0
2020-02-06,0.0,0
2020-02-07,0.0,0
2020-02-08,0.0,0
2020-02-09,0.0,0
2020-02-10,0.0,0
2020-02-11,0.0,0
2020-02-12,0.0,0
2020-02-13,0.0,0
2020-02-14,0.0,0
2020-02-15,0.0,0
2020-02-16,0.0,0
2020-02-17,0.0,0
2020-02-18,0.0,0
2020-02-19,0.0,0
2020-02-20,0.0,0
2020-02-21,0.0,0
2020-02-22,14.0,0
2020-02-23,62.0,2
2020-02-24,53.0,0
2020-02-25,97.0,4
2020-02-26,93.0,5
2020-02-27,78.0,1
2020-02-28,250.0,5
2020-02-29,238.0,4
2020-03-01,240.0,8
2020-03-02,561.0,6
2020-03-03,347.0,17
2020-03-04,466.0,28
2020-03-05,587.0,27
2020-03-06,769.0,41
2020-03-07,778.0,49
2020-03-08,1247.0,36
2020-03-09,1492.0,133
2020-03-10,1797.0,98
2020-03-11,977.0,167
2020-03-12,2313.0,196
2020-03-13,2651.0,189
2020-03-14,2547.0,252
2020-03-15,3497.0,173
2020-03-16,2823.0,370
2020-03-17,4000.0,347
2020-03-18,3526.0,347
2020-03-19,4207.0,473
2020-03-20,5322.0,429
2020-03-21,5986.0,625
2020-03-22,6557.0,795
2020-03-23,5560.0,649
2020-03-24,4789.0,601
2020-03-25,5249.0,743
2020-03-26,5210.0,685
2020-03-27,6153.0,660
2020-03-28,5959.0,971
2020-03-29,5974.0,887
2020-03-30,5217.0,758
2020-03-31,4050.0,810
2020-04-01,4053.0,839
2020-04-02,4782.0,727
2020-04-03,4668.0,760
2020-04-04,4585.0,764
2020-04-05,4805.0,681
2020-04-06,4316.0,527
2020-04-07,3599.0,636
2020-04-08,3039.0,604
2020-04-09,3836.0,540
2020-04-10,4204.0,612
2020-04-11,3951.0,570
2020-04-12,4694.0,619
2020-04-13,4092.0,431
2020-04-14,3153.0,564
2020-04-15,2972.0,604
2020-04-16,2667.0,578
2020-04-17,3786.0,525
2020-04-18,3493.0,575
2020-04-19,3491.0,480
2020-04-20,3047.0,433
2020-04-21,2256.0,454
2020-04-22,2729.0,534
2020-04-23,3370.0,437
2020-04-24,2646.0,464
2020-04-25,3021.0,420
2020-04-26,2357.0,415
2020-04-27,2324.0,260
2020-04-28,1739.0,333
2020-04-29,2091.0,382
2020-04-30,2086.0,323
2020-05-01,1872.0,285
2020-05-02,1965.0,269
2020-05-03,1900.0,474
2020-05-04,1389.0,174
2020-05-05,1221.0,195
2020-05-06,1075.0,236
2020-05-07,1444.0,369
2020-05-08,1401.0,274
2020-05-09,1327.0,243
2020-05-10,1083.0,194
2020-05-11,802.0,165
2020-05-12,744.0,179
2020-05-13,1402.0,172
2020-05-14,888.0,195
2020-05-15,992.0,262
2020-05-16,789.0,242
2020-05-17,875.0,153
2020-05-18,675.0,145
2020-05-19,451.0,99
2020-05-20,813.0,162
2020-05-21,665.0,161
2020-05-22,642.0,156
2020-05-23,652.0,130
2020-05-24,669.0,119
2020-05-25,531.0,50
2020-05-26,300.0,92
2020-05-27,397.0,78
2020-05-28,584.0,117
2020-05-29,593.0,70
2020-05-30,516.0,87
2020-05-31,416.0,111
2020-06-01,355.0,75
2020-06-02,178.0,60
2020-06-03,318.0,55
2020-06-04,321.0,71
2020-06-05,177.0,88
2020-06-06,518.0,85
2020-06-07,270.0,72
2020-06-08,197.0,53
2020-06-09,280.0,65
2020-06-10,283.0,79
2020-06-11,202.0,71
2020-06-12,379.0,53
2020-06-13,163.0,56
2020-06-14,346.0,78
2020-06-15,338.0,44
2020-06-16,301.0,26
2020-06-17,210.0,34
2020-06-18,328.0,43
2020-06-19,331.0,66
2020-06-20,-148.0,47
2020-06-21,264.0,49
2020-06-22,224.0,24
2020-06-23,221.0,23
2020-06-24,113.0,18
2020-06-25,577.0,-31
2020-06-26,296.0,34
2020-06-27,255.0,30
2020-06-28,175.0,8
2020-06-29,174.0,22
2020-06-30,126.0,6
2020-07-01,142.0,23
2020-07-02,182.0,21
2020-07-03,201.0,30
2020-07-04,223.0,15
2020-07-05,235.0,21
2020-07-06,192.0,7
2020-07-07,208.0,8
2020-07-08,137.0,30
2020-07-09,193.0,15
2020-07-10,214.0,12
2020-07-11,276.0,12
2020-07-12,188.0,7
2020-07-13,234.0,9
2020-07-14,169.0,13
2020-07-15,114.0,17
2020-07-16,162.0,13
2020-07-17,230.0,20
2020-07-18,231.0,11
2020-07-19,249.0,14
2020-07-20,218.0,3
2020-07-21,190.0,13
2020-07-22,128.0,15
2020-07-23,280.0,9
2020-07-24,306.0,10
2020-07-25,252.0,5
2020-07-26,274.0,5
2020-07-27,254.0,5
2020-07-28,168.0,5
2020-07-29,202.0,11
2020-07-30,288.0,6
2020-07-31,382.0,3
2020-08-01,379.0,9
2020-08-02,295.0,5
2020-08-03,238.0,8
2020-08-04,159.0,12
2020-08-05,190.0,5
2020-08-06,384.0,10
2020-08-07,401.0,6
2020-08-08,552.0,3
2020-08-09,347.0,13
2020-08-10,463.0,2
2020-08-11,259.0,4
2020-08-12,412.0,6
2020-08-13,476.0,10
2020-08-14,522.0,6
2020-08-15,574.0,3
2020-08-16,629.0,158
2020-08-17,477.0,4
2020-08-18,320.0,4
2020-08-19,401.0,5
2020-08-20,642.0,7
2020-08-21,840.0,6
2020-08-22,947.0,9
2020-08-23,1071.0,3
2020-08-24,1209.0,7
2020-08-25,953.0,4
2020-08-26,876.0,4
2020-08-27,1366.0,13
2020-08-28,1409.0,5
2020-08-29,1460.0,9
2020-08-30,1444.0,1
2020-08-31,1365.0,4
2020-09-01,996.0,6
2020-09-02,975.0,8
2020-09-03,1326.0,6
2020-09-04,1397.0,10
2020-09-05,1732.0,11
2020-09-06,1694.0,16
2020-09-07,1296.0,7
2020-09-08,1150.0,12
2020-09-09,1369.0,10
2020-09-10,1430.0,14
2020-09-11,1597.0,10
2020-09-12,1616.0,10
2020-09-13,1501.0,6
2020-09-14,1456.0,7
2020-09-15,1008.0,14
2020-09-16,1229.0,9
2020-09-17,1452.0,12
2020-09-18,1583.0,13
2020-09-19,1907.0,10
2020-09-20,1637.0,24
2020-09-21,1587.0,15
2020-09-22,1350.0,17
2020-09-23,1391.0,14
2020-09-24,1640.0,20
2020-09-25,1786.0,23
2020-09-26,1912.0,20
2020-09-27,1869.0,17
2020-09-28,1766.0,17
2020-09-29,1494.0,16
2020-09-30,1647.0,24
2020-10-01,,19
2020-10-02,,24
2020-10-03,,23
2020-10-04,,27
2020-10-05,,18
2020-10-06,,16
2020-10-07,,28
2020-10-08,,31
2020-10-09,,22
2020-10-10,,28
2020-10-11,,29
2020-10-12,,26
2020-10-13,,39
2020-10-14,,41
2020-10-15,,43
2020-10-16,,83
2020-10-17,,55
2020-10-18,,47
2020-10-19,,69
2020-10-20,,73
2020-10-21,,89
2020-10-22,,127
2020-10-23,,136
2020-10-24,,91
2020-10-25,,151
2020-10-26,,128
2020-10-27,,141
2020-10-28,,221
2020-10-29,,205
2020-10-30,,217
2020-10-31,,199
2020-11-01,,297
2020-11-02,,208
2020-11-03,,233
2020-11-04,,353
2020-11-05,,352
2020-11-06,,428
2020-11-07,,446
2020-11-08,,425
2020-11-09,,331
2020-11-10,,356
2020-11-11,,580
2020-11-12,,623
2020-11-13,,636
2020-11-14,,550
2020-11-15,,544
2020-11-16,,546
2020-11-17,,504
2020-11-18,,731
2020-11-19,,753
2020-11-20,,653
2020-11-21,,699
2020-11-22,,692
2020-11-23,,562
